date, DAXPoints
04-Jan-1988, 956.49
05-Jan-1988, 996.1
06-Jan-1988, 1006.01
07-Jan-1988, 1014.47
08-Jan-1988, 1026.69
11-Jan-1988, 987.52
12-Jan-1988, 986.89
13-Jan-1988, 965.77
14-Jan-1988, 974.46
15-Jan-1988, 952.46
18-Jan-1988, 1003.13
19-Jan-1988, 980.18
20-Jan-1988, 960.44
21-Jan-1988, 949.24
22-Jan-1988, 966.48
25-Jan-1988, 962.63
26-Jan-1988, 968.26
27-Jan-1988, 959.67
28-Jan-1988, 937.76
29-Jan-1988, 936
01-Feb-1988, 951.5
02-Feb-1988, 955.67
03-Feb-1988, 972.19
04-Feb-1988, 990.22
05-Feb-1988, 979.38
08-Feb-1988, 986.95
09-Feb-1988, 983.31
10-Feb-1988, 997.14
11-Feb-1988, 1024.69
12-Feb-1988, 1033.49
15-Feb-1988, 1049.35
16-Feb-1988, 1055.77
17-Feb-1988, 1053.27
18-Feb-1988, 1051.94
19-Feb-1988, 1046.78
22-Feb-1988, 1059.48
23-Feb-1988, 1069.03
24-Feb-1988, 1069.9
25-Feb-1988, 1091.59
26-Feb-1988, 1079.4
29-Feb-1988, 1083.34
01-Mar-1988, 1087.32
02-Mar-1988, 1080.44
03-Mar-1988, 1082.24
04-Mar-1988, 1075.13
07-Mar-1988, 1077.37
08-Mar-1988, 1079.42
09-Mar-1988, 1078.62
10-Mar-1988, 1082.54
11-Mar-1988, 1073.45
14-Mar-1988, 1071.89
15-Mar-1988, 1088.13
16-Mar-1988, 1098.76
17-Mar-1988, 1104.27
18-Mar-1988, 1123.27
21-Mar-1988, 1111.62
22-Mar-1988, 1107.1
23-Mar-1988, 1116.11
24-Mar-1988, 1100.45
25-Mar-1988, 1065.71
28-Mar-1988, 1037.26
29-Mar-1988, 1062.33
30-Mar-1988, 1066.5
31-Mar-1988, 1062.33
05-Apr-1988, 1063.28
06-Apr-1988, 1073.02
07-Apr-1988, 1081.9
08-Apr-1988, 1078.41
11-Apr-1988, 1088.24
12-Apr-1988, 1102.33
13-Apr-1988, 1094.12
14-Apr-1988, 1093.12
15-Apr-1988, 1071.23
18-Apr-1988, 1075.13
19-Apr-1988, 1083.45
20-Apr-1988, 1075.76
21-Apr-1988, 1067.5
22-Apr-1988, 1067.06
25-Apr-1988, 1066.82
26-Apr-1988, 1053.71
27-Apr-1988, 1054.3
28-Apr-1988, 1058.25
29-Apr-1988, 1049.17
02-May-1988, 1052.84
03-May-1988, 1040.95
04-May-1988, 1047.39
05-May-1988, 1044.66
06-May-1988, 1037.24
09-May-1988, 1023.62
10-May-1988, 1010.15
11-May-1988, 994.35
13-May-1988, 1006.97
16-May-1988, 1049.59
17-May-1988, 1046.36
18-May-1988, 1043.2
19-May-1988, 1020.32
20-May-1988, 1031.33
24-May-1988, 1031.92
25-May-1988, 1043.61
26-May-1988, 1046.62
27-May-1988, 1054.92
30-May-1988, 1064.61
31-May-1988, 1075.66
01-Jun-1988, 1095.43
03-Jun-1988, 1102.03
06-Jun-1988, 1105.91
07-Jun-1988, 1101.13
08-Jun-1988, 1097.67
09-Jun-1988, 1125.66
10-Jun-1988, 1115.78
13-Jun-1988, 1122.26
14-Jun-1988, 1117.84
15-Jun-1988, 1134.02
16-Jun-1988, 1124.14
20-Jun-1988, 1104.7
21-Jun-1988, 1119.56
22-Jun-1988, 1137.23
23-Jun-1988, 1135.77
24-Jun-1988, 1131.19
27-Jun-1988, 1138.84
28-Jun-1988, 1124.73
29-Jun-1988, 1133.52
30-Jun-1988, 1133.81
01-Jul-1988, 1153.68
04-Jul-1988, 1170.44
05-Jul-1988, 1177.4
06-Jul-1988, 1194.96
07-Jul-1988, 1186.42
08-Jul-1988, 1199.92
11-Jul-1988, 1191.53
12-Jul-1988, 1182.47
13-Jul-1988, 1167.74
14-Jul-1988, 1185.15
15-Jul-1988, 1189.59
18-Jul-1988, 1188.4
19-Jul-1988, 1168.58
20-Jul-1988, 1169.79
21-Jul-1988, 1181.05
22-Jul-1988, 1156.25
25-Jul-1988, 1149.77
26-Jul-1988, 1167.65
27-Jul-1988, 1176.5
28-Jul-1988, 1163.27
29-Jul-1988, 1178.53
01-Aug-1988, 1190.67
02-Aug-1988, 1187.11
03-Aug-1988, 1192.42
04-Aug-1988, 1182.98
05-Aug-1988, 1193.87
08-Aug-1988, 1202.28
09-Aug-1988, 1193.46
10-Aug-1988, 1174.99
11-Aug-1988, 1162.76
12-Aug-1988, 1172.61
15-Aug-1988, 1170.44
16-Aug-1988, 1158.61
17-Aug-1988, 1175.03
18-Aug-1988, 1180.39
19-Aug-1988, 1164.47
22-Aug-1988, 1165.98
23-Aug-1988, 1151.46
24-Aug-1988, 1161.68
25-Aug-1988, 1164.65
26-Aug-1988, 1156.58
29-Aug-1988, 1150.97
30-Aug-1988, 1164.3
31-Aug-1988, 1169.46
01-Sep-1988, 1154.33
02-Sep-1988, 1152.92
05-Sep-1988, 1173.43
06-Sep-1988, 1176.77
07-Sep-1988, 1182.54
08-Sep-1988, 1186.86
09-Sep-1988, 1186.59
12-Sep-1988, 1199.83
13-Sep-1988, 1211.24
14-Sep-1988, 1224.05
15-Sep-1988, 1226.42
16-Sep-1988, 1229.28
19-Sep-1988, 1248.47
20-Sep-1988, 1243.04
21-Sep-1988, 1257.8
22-Sep-1988, 1250.07
23-Sep-1988, 1250.44
26-Sep-1988, 1254.93
27-Sep-1988, 1252.54
28-Sep-1988, 1239.9
29-Sep-1988, 1248.01
30-Sep-1988, 1253.68
03-Oct-1988, 1243.28
04-Oct-1988, 1245.26
05-Oct-1988, 1252.26
06-Oct-1988, 1257.58
07-Oct-1988, 1265.06
10-Oct-1988, 1283.67
11-Oct-1988, 1275.52
12-Oct-1988, 1263
13-Oct-1988, 1269.27
14-Oct-1988, 1284.51
17-Oct-1988, 1282.75
18-Oct-1988, 1299.59
19-Oct-1988, 1309.23
20-Oct-1988, 1288.44
21-Oct-1988, 1297.6
24-Oct-1988, 1288.11
25-Oct-1988, 1290.07
26-Oct-1988, 1308.09
27-Oct-1988, 1319.25
28-Oct-1988, 1314.71
31-Oct-1988, 1308.25
01-Nov-1988, 1304.97
02-Nov-1988, 1299.71
03-Nov-1988, 1275.68
04-Nov-1988, 1289.37
07-Nov-1988, 1271.03
