date, DAXPoints
726106,9.564900e+02
726107,9.961000e+02
726108,1.006010e+03
726109,1.014470e+03
726110,1.026690e+03
726113,9.875200e+02
726114,9.868900e+02
726115,9.657700e+02
726116,9.744600e+02
726117,9.524600e+02
726120,1.003130e+03
726121,9.801800e+02
726122,9.604400e+02
726123,9.492400e+02
726124,9.664800e+02
726127,9.626300e+02
726128,9.682600e+02
726129,9.596700e+02
726130,9.377600e+02
726131,936
726134,9.515000e+02
726135,9.556700e+02
726136,9.721900e+02
726137,9.902200e+02
726138,9.793800e+02
726141,9.869500e+02
726142,9.833100e+02
726143,9.971400e+02
726144,1.024690e+03
726145,1.033490e+03
726148,1.049350e+03
726149,1.055770e+03
726150,1.053270e+03
726151,1.051940e+03
726152,1.046780e+03
726155,1.059480e+03
726156,1.069030e+03
726157,1.069900e+03
726158,1.091590e+03
726159,1.079400e+03
726162,1.083340e+03
726163,1.087320e+03
726164,1.080440e+03
726165,1.082240e+03
726166,1.075130e+03
726169,1.077370e+03
726170,1.079420e+03
726171,1.078620e+03
726172,1.082540e+03
726173,1.073450e+03
726176,1.071890e+03
726177,1.088130e+03
726178,1.098760e+03
726179,1.104270e+03
726180,1.123270e+03
726183,1.111620e+03
726184,1.107100e+03
726185,1.116110e+03
726186,1.100450e+03
726187,1.065710e+03
726190,1.037260e+03
726191,1.062330e+03
726192,1.066500e+03
726193,1.062330e+03
726198,1.063280e+03
726199,1.073020e+03
726200,1.081900e+03
726201,1.078410e+03
726204,1.088240e+03
726205,1.102330e+03
726206,1.094120e+03
726207,1.093120e+03
726208,1.071230e+03
726211,1.075130e+03
726212,1.083450e+03
726213,1.075760e+03
726214,1.067500e+03
726215,1.067060e+03
726218,1.066820e+03
726219,1.053710e+03
726220,1.054300e+03
726221,1.058250e+03
726222,1.049170e+03
726225,1.052840e+03
726226,1.040950e+03
726227,1.047390e+03
726228,1.044660e+03
726229,1.037240e+03
726232,1.023620e+03
726233,1.010150e+03
726234,9.943500e+02
726236,1.006970e+03
726239,1.049590e+03
726240,1.046360e+03
726241,1.043200e+03
726242,1.020320e+03
726243,1.031330e+03
726247,1.031920e+03
726248,1.043610e+03
726249,1.046620e+03
726250,1.054920e+03
726253,1.064610e+03
726254,1.075660e+03
726255,1.095430e+03
726257,1.102030e+03
726260,1.105910e+03
726261,1.101130e+03
726262,1.097670e+03
726263,1.125660e+03
726264,1.115780e+03
726267,1.122260e+03
726268,1.117840e+03
726269,1.134020e+03
726270,1.124140e+03
726274,1.104700e+03
726275,1.119560e+03
726276,1.137230e+03
726277,1.135770e+03
726278,1.131190e+03
726281,1.138840e+03
726282,1.124730e+03
726283,1.133520e+03
726284,1.133810e+03
726285,1.153680e+03
726288,1.170440e+03
726289,1.177400e+03
726290,1.194960e+03
726291,1.186420e+03
726292,1.199920e+03
726295,1.191530e+03
726296,1.182470e+03
726297,1.167740e+03
726298,1.185150e+03
726299,1.189590e+03
726302,1.188400e+03
726303,1.168580e+03
726304,1.169790e+03
726305,1.181050e+03
726306,1.156250e+03
726309,1.149770e+03
726310,1.167650e+03
726311,1.176500e+03
726312,1.163270e+03
726313,1.178530e+03
726316,1.190670e+03
726317,1.187110e+03
726318,1.192420e+03
726319,1.182980e+03
726320,1.193870e+03
726323,1.202280e+03
726324,1.193460e+03
726325,1.174990e+03
726326,1.162760e+03
726327,1.172610e+03
726330,1.170440e+03
726331,1.158610e+03
726332,1.175030e+03
726333,1.180390e+03
726334,1.164470e+03
726337,1.165980e+03
726338,1.151460e+03
726339,1.161680e+03
726340,1.164650e+03
726341,1.156580e+03
726344,1.150970e+03
726345,1.164300e+03
726346,1.169460e+03
726347,1.154330e+03
726348,1.152920e+03
726351,1.173430e+03
726352,1.176770e+03
726353,1.182540e+03
726354,1.186860e+03
726355,1.186590e+03
726358,1.199830e+03
726359,1.211240e+03
726360,1.224050e+03
726361,1.226420e+03
726362,1.229280e+03
726365,1.248470e+03
726366,1.243040e+03
726367,1.257800e+03
726368,1.250070e+03
726369,1.250440e+03
726372,1.254930e+03
726373,1.252540e+03
726374,1.239900e+03
726375,1.248010e+03
726376,1.253680e+03
726379,1.243280e+03
726380,1.245260e+03
726381,1.252260e+03
726382,1.257580e+03
726383,1.265060e+03
726386,1.283670e+03
726387,1.275520e+03
726388,1263
726389,1.269270e+03
726390,1.284510e+03
726393,1.282750e+03
726394,1.299590e+03
726395,1.309230e+03
726396,1.288440e+03
726397,1.297600e+03
726400,1.288110e+03
726401,1.290070e+03
726402,1.308090e+03
726403,1.319250e+03
726404,1.314710e+03
726407,1.308250e+03
726408,1.304970e+03
726409,1.299710e+03
726410,1.275680e+03
726411,1.289370e+03
726414,1.271030e+03
726415,1.284600e+03
726416,1.283410e+03
726417,1.266920e+03
726418,1.252110e+03
726421,1.252830e+03
726422,1.265400e+03
726424,1.261280e+03
726425,1.278250e+03
726428,1.286990e+03
726429,1.275040e+03
726430,1.283080e+03
726431,1.280450e+03
726432,1.275670e+03
726435,1.261550e+03
726436,1.259190e+03
726437,1.273760e+03
726438,1.281610e+03
726439,1.272090e+03
726442,1.281320e+03
726443,1.292710e+03
726444,1.300660e+03
726445,1.298020e+03
726446,1.300760e+03
726449,1.293230e+03
726450,1.288090e+03
726451,1.294520e+03
726452,1.282280e+03
726453,1.298310e+03
726456,1.310380e+03
726457,1.331520e+03
726458,1.321690e+03
726459,1.324790e+03
726460,1.326200e+03
726464,1.342460e+03
726465,1.332390e+03
726466,1.330230e+03
726470,1.325960e+03
726471,1.356660e+03
726472,1.369780e+03
726473,1.372400e+03
726474,1.356480e+03
726477,1.367090e+03
726478,1.349900e+03
726479,1.352430e+03
726480,1.360610e+03
726481,1.356700e+03
726484,1.343580e+03
726485,1.328270e+03
726486,1.316930e+03
726487,1.339980e+03
726488,1.329810e+03
726491,1.313290e+03
726492,1.326610e+03
726493,1.345630e+03
726494,1.330800e+03
726495,1.341820e+03
726498,1.335940e+03
726499,1.324340e+03
726500,1.305930e+03
726501,1.313660e+03
726502,1.328990e+03
726505,1.332660e+03
726506,1.344800e+03
726507,1.356540e+03
726508,1.349720e+03
726509,1.347170e+03
726512,1.335500e+03
726513,1.333960e+03
726514,1.321200e+03
726515,1.322590e+03
726516,1.319930e+03
726519,1.320830e+03
726520,1.310590e+03
726521,1.296110e+03
726522,1.273080e+03
726523,1.284450e+03
726526,1.269680e+03
726527,1.289790e+03
726528,1.305750e+03
726529,1.303260e+03
726530,1.324890e+03
726533,1.332670e+03
726534,1.331010e+03
726535,1.314670e+03
726536,1.315860e+03
726537,1.320360e+03
726540,1.310360e+03
726541,1.329020e+03
726542,1.332660e+03
726543,1.323640e+03
726544,1.325510e+03
726547,1.299160e+03
726548,1.302170e+03
726549,1.308790e+03
726550,1.303760e+03
726555,1.308240e+03
726556,1.310660e+03
726557,1316
726558,1.319880e+03
726561,1.339430e+03
726562,1.341900e+03
726563,1.346590e+03
726564,1.351480e+03
726565,1.346070e+03
726568,1.362590e+03
726569,1.371670e+03
726570,1.379300e+03
726571,1.396340e+03
726572,1.378350e+03
726575,1.395690e+03
726576,1.390610e+03
726577,1.391040e+03
726578,1.387270e+03
726579,1.375930e+03
726582,1.373490e+03
726583,1.368600e+03
726584,1.374190e+03
726585,1.374760e+03
726586,1.374040e+03
726590,1.359060e+03
726591,1.365870e+03
726593,1.380280e+03
726596,1.379380e+03
726597,1.369420e+03
726598,1.368130e+03
726599,1.367370e+03
726600,1.348260e+03
726604,1.338930e+03
726605,1.338380e+03
726606,1.348670e+03
726607,1.354080e+03
726610,1.351580e+03
726611,1.348590e+03
726612,1.369550e+03
726614,1.373550e+03
726617,1.378630e+03
726618,1.402570e+03
726619,1.407050e+03
726620,1.406960e+03
726621,1.417830e+03
726624,1.421740e+03
726625,1.408950e+03
726626,1.429900e+03
726627,1440
726628,1.436900e+03
726631,1.433820e+03
726632,1.425780e+03
726633,1.433240e+03
726634,1.426180e+03
726635,1.430210e+03
726638,1.453590e+03
726639,1.477190e+03
726640,1.470380e+03
726641,1.485300e+03
726642,1.485310e+03
726645,1.486790e+03
726646,1.475080e+03
726647,1.492060e+03
726648,1.488160e+03
726649,1.477220e+03
726652,1.485400e+03
726653,1.511880e+03
726654,1.496810e+03
726655,1.486790e+03
726656,1.507880e+03
726659,1.520600e+03
726660,1.503360e+03
726661,1.511390e+03
726662,1.513560e+03
726663,1.527600e+03
726666,1.530240e+03
726667,1.515620e+03
726668,1.535120e+03
726669,1.546490e+03
726670,1.556380e+03
726673,1.554580e+03
726674,1.550010e+03
726675,1.570550e+03
726676,1.564870e+03
726677,1.554590e+03
726680,1.548680e+03
726681,1.576390e+03
726682,1.590130e+03
726683,1.574720e+03
726684,1.585370e+03
726687,1.584280e+03
726688,1.604640e+03
726689,1.602890e+03
726690,1.615580e+03
726691,1.610420e+03
726694,1.586750e+03
726695,1.567900e+03
726696,1.591190e+03
726697,1.574470e+03
726698,1.572980e+03
726701,1.594430e+03
726702,1.600700e+03
726703,1.594730e+03
726704,1.592850e+03
726705,1.604470e+03
726708,1.600990e+03
726709,1.594590e+03
726710,1.589010e+03
726711,1.594700e+03
726712,1.608050e+03
726715,1.622050e+03
726716,1.636800e+03
726717,1.639370e+03
726718,1.638530e+03
726719,1.654470e+03
726722,1.641060e+03
726723,1.630490e+03
726724,1.609660e+03
726725,1.609890e+03
726726,1.607080e+03
726729,1.597080e+03
726730,1.613120e+03
726731,1.617950e+03
726732,1.615210e+03
726733,1.626020e+03
726736,1.635050e+03
726737,1.617950e+03
726738,1.585060e+03
726739,1.586240e+03
726740,1.570640e+03
726743,1.578490e+03
726744,1.596790e+03
726745,1.616810e+03
726746,1.615770e+03
726747,1.629610e+03
726750,1.636150e+03
726751,1.643670e+03
726752,1.610490e+03
726753,1.608020e+03
726754,1.595630e+03
726757,1.385910e+03
726758,1.477170e+03
726759,1.501490e+03
726760,1.522290e+03
726761,1.520010e+03
726764,1.518240e+03
726765,1.508250e+03
726766,1.479220e+03
726767,1.492920e+03
726768,1.467310e+03
726771,1.457810e+03
726772,1.464870e+03
726773,1.473290e+03
726774,1.465600e+03
726775,1.445130e+03
726778,1.444740e+03
726779,1.432190e+03
726780,1.436890e+03
726781,1.464510e+03
726782,1.490970e+03
726785,1.527670e+03
726786,1.502790e+03
726787,1.500230e+03
726788,1.515660e+03
726789,1.527600e+03
726792,1.533750e+03
726793,1.514060e+03
726795,1.533070e+03
726796,1.549810e+03
726799,1.560040e+03
726800,1.547930e+03
726801,1.565830e+03
726802,1.556410e+03
726803,1.603810e+03
726806,1.636870e+03
726807,1.621110e+03
726808,1.654160e+03
726809,1.667860e+03
726810,1.646490e+03
726813,1.652220e+03
726814,1.650340e+03
726815,1.630310e+03
726816,1.629100e+03
726817,1.628490e+03
726820,1.633400e+03
726821,1.640500e+03
726822,1.671960e+03
726823,1.676850e+03
726824,1.685640e+03
726829,1.732880e+03
726830,1.778120e+03
726835,1.788890e+03
726836,1.867290e+03
726837,1.830920e+03
726838,1.812900e+03
726841,1.841470e+03
726842,1.865520e+03
726843,1.843050e+03
726844,1.843420e+03
726845,1.860960e+03
726848,1.840380e+03
726849,1.806100e+03
726850,1.810610e+03
726851,1.771670e+03
726852,1.775290e+03
726855,1.787080e+03
726856,1785
726857,1.751620e+03
726858,1.791520e+03
726859,1.798220e+03
726862,1.815690e+03
726863,1.815200e+03
726864,1.821210e+03
726865,1.852920e+03
726866,1.908460e+03
726869,1.939820e+03
726870,1.936250e+03
726871,1.895650e+03
726872,1.909950e+03
726873,1.895930e+03
726876,1.844470e+03
726877,1.857100e+03
726878,1.836580e+03
726879,1.845920e+03
726880,1.888820e+03
726883,1.886730e+03
726884,1.830510e+03
726885,1.807400e+03
726886,1.823500e+03
726887,1.788390e+03
726890,1.764060e+03
726891,1.797040e+03
726892,1.806630e+03
726893,1.796180e+03
726894,1.804980e+03
726897,1.838180e+03
726898,1.820360e+03
726899,1.841920e+03
726900,1.861950e+03
726901,1.858890e+03
